environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Adelaide,ADE,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Brisbane,BRL,,,,,,,,,,,,,,,,,,
production,,Carlton,CAR,,,,,,,,,,,,,,,,,,
production,,Carlton,CAR,,,,,,,,,,,,,,,,,,
production,,Carlton,CAR,,,,,,,,,,,,,,,,,,
production,,Carlton,CAR,,,,,,,,,,,,,,,,,,
